catalog_number,scan_name,provisional_id,layer_in_batch,scan_folder,trip_folder,element,side,site,scan_voxelsize_mm,scanned,true_voxelsize_mm,raw_ply,fill_ply,crop_ply,checked,notes,last_mod,scan_metadata,processor,mod_by,morphosource_tiff,morphosource_surface,morphosource_checked,morphosource_media,citation,"Folder Struct Check[0,1]"
,CAB17-0843,Ectypodus,2,201710_small_dia,201710,M/1,L,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0718,Wyonycteris,3,201710_small_dia,201710,dent P/4,L,,0.0032606,X,0.0032606,X,,,,enamel poorly preserved,12/4/2018,201710_small_dia,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-0769,Talpavoides,3,201710_small_dia,201710,M/2,L,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0842,Ectypodus,3,201710_small_dia,201710,M/2,R,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0965,Niptomomys,4,201710_small_dia,201710,M/2,L,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0992,Plagioctenoides,4,201710_small_dia,201710,dent P/4,L,,0.0032606,X,0.0032606,X,,,X,enamel poorly preserved,12/4/2018,201710_small_dia,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-0823,Leipsanolestes,5,201710_small_dia,201710,M/1 partial,L,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0838,Peradectes,5,201710_small_dia,201710,M/2 or M/3,L,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB17-0845,Niptomomys,5,201710_small_dia,201710,M/1,R,,0.0032606,X,0.0032606,X,,,,,,201710_small_dia,,,FALSE,FALSE,FALSE,,,
,CAB18-0429,Alagomys,2,A7_alagomys,201809,M2/,R,,0.00358552,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0470,Alagomys,2,A7_alagomys,201809,M/3,L,,0.00358552,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0472,Microparamys,2,A7_alagomys,201809,P/4,L,,0.00358552,Y,,X,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-1673,Plagioctenoides,3,A7_top3,201809,M1/,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2140,Ectypodus,3,A7_top3,201809,M/2,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2639,Colpocherus,3,A7_top3,201809,M/3,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2901,Geolabididae,3,A7_top3,201809,M/3,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0509,Leipsanolestes?,3,A7_top3,201809,P/4,L,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF98563,UF98563,Proheteromys,3,A7_top3,201809,M/1 or M/2,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF98582,UF98582,Proheteromys,4,A7_top3,201809,M/1 or M/2,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2201,Plagioctenoides,4,A7_top3,201809,M1/,L,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-1567,Niptomomys,4,A7_top3,201809,dent P/4,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2857,Plagioctenoides,4,A7_top3,201809,M/1,L,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0522,Geolabididae,4,A7_top3,201809,P/4,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2601,Talpavoides,5,A7_top3,201809,dent M/1-M/3,L,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF97846,UF97846,Proheteromys,5,A7_top3,201809,M/1 or M/2,R,,0.0057245,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-1178,Peradectes,1,A8_1-2,201809,dent M/2 talonid-M/4,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0510,Ceutholestes,1,A8_1-2,201809,M/1 or M/2,L,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF99517,UF99517,Proheteromys,1,A8_1-2,201809,M/1 or M/2,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2600,Ectypodus,2,A8_1-2,201809,M/1,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2042,Macrocranion,2,A8_1-2,201809,M/3,L,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2478,Geolabididae,2,A8_1-2,201809,M/3,L,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2486,Peradectes,2,A8_1-2,201809,M/1,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-3157,Macrocranion,2,A8_1-2,201809,P/4,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF137736,UF137736,Proheteromys,2,A8_1-2,201809,M/1 or M/2,R,,0.00578001,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB15-1094,Geolabididae,3,A8_3-5,201809,P/4,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-1874,Herpetotherium,3,A8_3-5,201809,M/1,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2404,Plagioctenoides,3,A8_3-5,201809,M/1,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2898,Talpavoides,3,A8_3-5,201809,M/3,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB18-0529,Geolabididae,3,A8_3-5,201809,max M1/ or M2/,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF137676,UF137676,Proheteromys,3,A8_3-5,201809,M/1 or M/2,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2165,Leptacodon donkroni,4,A8_3-5,201809,M/X,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2249,Plagioctenoides,4,A8_3-5,201809,M2/,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2366,Talpavoides,4,A8_3-5,201809,P/4,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF121245,UF121245,Proheteromys,4,A8_3-5,201809,max M2/,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF98581,UF98581,Proheteromys,4,A8_3-5,201809,M/1 or M/2,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-1917,Herpetotherium,5,A8_3-5,201809,M/1,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2367,Talpavoides,5,A8_3-5,201809,P/4,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2369,Plagioctenoides,5,A8_3-5,201809,M2/,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2853,Leptacodon donkroni,5,A8_3-5,201809,M/2,L,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF127942,UF127942,Proheteromys,5,A8_3-5,201809,M/1 or M/2,R,,0.00619588,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2200,Macrocranion,4,A3_4-6,201811,P/4,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2239,Geolabididae,4,A3_4-6,201811,M2/,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2262,Geolabididae,4,A3_4-6,201811,P/4,R,,0.00602426,X,0.00602426,X,,,,,12/4/2018,A3,NSV,NA,FALSE,FALSE,FALSE,,,
,CAB17-2735,Plagioctenoides,4,A3_4-6,201811,M1/,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2814,Colpocherus,4,A3_4-6,201811,M/2,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2829,Plagioctenoides,4,A3_4-6,201811,M/1,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
UF283174,UF283174,Herpetotherium,4,A3_4-6,201811,M/X,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2169,Talpavoides?,5,A3_4-6,201811,dent P/4,R,,0.00602426,X,0.00602426,X,X,X,X,"originally ID'd as Plagioctenoides, too large.",12/4/2018,A3,NSV,NA,FALSE,FALSE,FALSE,,,
,CAB17-2220,Geolabididae,5,A3_4-6,201811,M2/,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2419,Plagioctenoides,5,A3_4-6,201811,M3/,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2635,Macrocranion,5,A3_4-6,201811,M/2,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2827,Plagioctenoides,5,A3_4-6,201811,M/2,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
UF295830,UF295830,Herpetotherium,5,A3_4-6,201811,M/X,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB16-1753,Leptacodon donkroni,6,A3_4-6,201811,P/4,R,,0.00602426,X,0.00602426,X,,,,either very mis-ID'd (M/X of larger critter) or mis-isolated,,A3,NSV,NA,FALSE,FALSE,FALSE,,,
,CAB17-2543,Ectypodus,6,A3_4-6,201811,M/1,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2582,Plagioctenoides,6,A3_4-6,201811,M3/,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2591,Plagioctenoides,6,A3_4-6,201811,M1/,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2634,Macrocranion,6,A3_4-6,201811,M/1,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2648,Talpavoides,6,A3_4-6,201811,M/1,L,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2659,Peradectes,6,A3_4-6,201811,M/X,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
UF295500,UF295500,Herpetotherium,6,A3_4-6,201811,M/X,R,,0.00602426,X,0.00602426,,,,,,,A3,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2607,Geolabididae,1,A4,201811,dent M/1 broken,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2752,Geolabididae,1,A4,201811,M2/,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2788,Plagioctenoides,1,A4,201811,M3/,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2883,Colpocherus,1,A4,201811,M/1,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2888,Macrocranion,1,A4,201811,M/3,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
UF295504,UF295504,Herpetotherium,1,A4,201811,M/X,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2068,Colpocherus,2,A4,201811,dent M/2,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2478,Eulipotyphla,2,A4,201811,M3/,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2803,Plagioctenoides,2,A4,201811,M1/,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2809,Geolabididae,2,A4,201811,M/X,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2872,Peradectes,2,A4,201811,M/4,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
UF295503,UF295503,Herpetotherium,2,A4,201811,M/X,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2484,Peradectes,3,A4,201811,M/X,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2531,Geolabididae,3,A4,201811,P/4,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2547,Ectypodus,3,A4,201811,M/1,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2733,Plagioctenoides,3,A4,201811,M1/,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2842,Geolabididae,3,A4,201811,M/X broken,R,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2887,Macrocranion,3,A4,201811,M/2,L,,0.00621973,X,0.00621973,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
UF283477,UF283477,Herpetotherium,3,A4,201811,M/X,R,,0.00621973,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB16-1987,Colpocherus,4,A4_4-6,201811,M/2,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2066,Pontifactor?,4,A4_4-6,201811,dent M/3,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2079,Plagioctenoides,4,A4_4-6,201811,M1/,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2830,Geolabididae,4,A4_4-6,201811,M/X partial,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2832,Plagioctenoides,4,A4_4-6,201811,M/2,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2871,Peradectes,4,A4_4-6,201811,M/4,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
UF283169,UF283169,Herpetotherium,4,A4_4-6,201811,M/X,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB15-1280,Plagioctenoides,5,A4_4-6,201811,M/3,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB16-2121,Plagioctenoides,5,A4_4-6,201811,dent M/1,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2594,Geolabididae,5,A4_4-6,201811,M1/,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2736,Plagioctenoides,5,A4_4-6,201811,M2/,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2834,Geolabididae,5,A4_4-6,201811,M/X partial,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2862,Peradectes,5,A4_4-6,201811,M/2 or M/3,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
UF283172,UF283172,Herpetotherium,5,A4_4-6,201811,M/4,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB16-1321,Plagioctenoides,6,A4_4-6,201811,M/3 broken,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB16-2479,Peradectes,6,A4_4-6,201811,M/1,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-0829,Ceutholestes,6,A4_4-6,201811,dent P/2,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2724,Plagioctenoides,6,A4_4-6,201811,M1/,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2744,Geolabididae,6,A4_4-6,201811,M2/,L,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2745,Nyctitheriidae,6,A4_4-6,201811,M3/,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-2874,Herpetotherium,6,A4_4-6,201811,M/2 or M/3,R,,0.00573226,NA,,,,,,,,A4,,NA,FALSE,FALSE,FALSE,,,
,CAB17-1756,Talpavoides,1,A5,201811,dent P/4-M/2 trigonid,R,,0.00508048,X,0.00508048,X,X,X,X,"M/1 broken, P/4 cropped",12/5/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2573,Colpocherus,1,A5,201811,max P4/-M1/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300773,UF300773,Proheteromys,1,A5,201811,M1/ or M2/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-1007,Talpavoides,2,A5,201811,dent P/4-M/1,R,,0.00508048,X,0.00508048,X,,,X,"This is actualy Talpavoides? Originally ID'd as Plagioctenoides. Includes roots of P/3, alveolus for P/2, and neither ""complete"" tooth well preserved",12/4/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2016,Ectypodus,2,A5,201811,M/1,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-3213,Plagioctenoides,2,A5,201811,P/4,L,,0.00508048,X,0.00508048,X,X,X,X,,12/4/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-3290,Herpetotherium,2,A5,201811,M/2 or M/3,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-3303,Colpocherus,2,A5,201811,P/4,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300762,UF300762,Proheteromys,2,A5,201811,M1/ or M2/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2185,Plagioctenoides,3,A5,201811,P/4,R,,0.00508048,X,0.00508048,X,X,X,X,,11/30/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2382,Plagioctenoides,3,A5,201811,dent P/3-P/4,R,,0.00508048,X,0.00508048,X,,X,X,enamel poorly preserved,11/30/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-3201,Peradectes,3,A5,201811,M/2 or M/3,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-3209,Plagioctenoides,3,A5,201811,M3/,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF-295215,UF295215,Serpentes,3,A5,201811,tail club,,,0.00508048,X,0.00508048,X,NA,NA,X,smoothed in avizo 6x lambda=0.6,11/30/2018,,NSV,,TRUE,TRUE,TRUE,M35105,,
UF98413,UF98413,Proheteromys,3,A5,201811,M1/ or M2/,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-1412,Nyctitheriidae,4,A5,201811,max P4/,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2059,Geolabididae,4,A5,201811,P/4,L,,0.00508048,X,0.00508048,X,,,,chunks taken out of the side,12/5/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2746,Geolabididae,4,A5,201811,"M3/, partial",R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2778,Peradectes,4,A5,201811,M/1,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2840,Plagioctenoides,4,A5,201811,M/2,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF249679,UF249679,Macrocranion,4,A5,201811,P4/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300772,UF300772,Proheteromys,4,A5,201811,M1/ or M2/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2494,Geolabididae,5,A5,201811,M/X partial,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2150,Ectypodus,5,A5,201811,M/1,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2466,Plagioctenoides,5,A5,201811,dent P/4,L,,0.00508048,X,0.00508048,X,,,X,enamel poorly preserved,12/4/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2538,Talpavoides,5,A5,201811,P/4,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2725,Plagioctenoides,5,A5,201811,M2/,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2859,Peradectes,5,A5,201811,M/2 or M/3,L,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300771,UF300771,Proheteromys,5,A5,201811,M1/ or M2/,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2379,Colpocherus,6,A5,201811,dent M/2 talonid-M/3,R,,0.00508048,X,0.00508048,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2403,Geolabididae,6,A5,201811,dent P/3-P/4,L,,0.00508048,X,0.00508048,X,,,,"large, Centetodon-sized",12/5/2018,,NSV,,FALSE,FALSE,FALSE,,,
,CAB17-2572,Macrocranion,1,A6_1-2,201811,max P4/-M2/,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2606,Colpocherus,1,A6_1-2,201811,dent M/3 in crypt,R,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2047,Geolabididae,2,A6_1-2,201811,P/4,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2080,Plagioctenoides,2,A6_1-2,201811,M2/,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2237,Colpocherus,2,A6_1-2,201811,M/2,R,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2722,Plagioctenoides,2,A6_1-2,201811,M3/,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2845,Peradectes,2,A6_1-2,201811,M/2 or M/3,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2854,Leptacodon donkroni,2,A6_1-2,201811,M/1,L,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300779,UF300779,Proheteromys,2,A6_1-2,201811,M1/ or M2/,R,,0.00562964,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB15-0931,Herpetotherium,3,A6_3-4,201811,M/1,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2031,Peradectes,3,A6_3-4,201811,M/2 or M/3,L,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-1278,Wyonycteris,3,A6_3-4,201811,M3/,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2149,Ectypodus,3,A6_3-4,201811,M/1,L,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2536,Talpavoides,3,A6_3-4,201811,P/4,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2851,Plagioctenoides,3,A6_3-4,201811,M/2,L,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300763,UF300763,Proheteromys,3,A6_3-4,201811,M1/ or M2/,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2142,Peradectes,4,A6_3-4,201811,M/4,L,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-1283,Wyonycteris,4,A6_3-4,201811,M2/,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2056,Macrocranion,4,A6_3-4,201811,P/4,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2147,Ectypodus,4,A6_3-4,201811,M/1,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2481,Herpetotherium,4,A6_3-4,201811,M/X,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2850,Leptacodon donkroni,4,A6_3-4,201811,M/1,L,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF300764,UF300764,Proheteromys,4,A6_3-4,201811,M1/ or M2/,R,,0.0058169,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB15-1281,Geolabididae,5,A6_5-6,201811,P/4,L,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-0731,Plagioctenoides,5,A6_5-6,201811,M/3,R,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-1893,Peradectes,5,A6_5-6,201811,M/2 or M/3,L,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2011,Plagioctenoides,5,A6_5-6,201811,M1/,L,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2040,Macrocranion,5,A6_5-6,201811,M/1,R,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2267,Peradectes,5,A6_5-6,201811,M/4,L,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
UF127953,UF127953,Proheteromys,5,A6_5-6,201811,M/1 or M/2,L,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2041,Plagioctenoides,6,A6_5-6,201811,M1/,R,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB16-2480,Peradectes,6,A6_5-6,201811,M/2 or M/3,R,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
,CAB17-2211,Macrocranion,6,A6_5-6,201811,M/2,R,,0.00617625,Y,,,,,,,,,,,FALSE,FALSE,FALSE,,,
